name,lat,lon
강솔초 강현캠퍼스 (2029년 3월 예정),37.555248,127.178768
강신초등학교,37.543046,126.829478
강율초등학교 (2029년 3월 예정),37.575563,127.174311
경기초등학교,37.565182,126.962784
경복초등학교,37.549818,127.086820
경희초등학교,37.594932,127.049148
계성초등학교,37.504691,126.996734
광운초등학교,37.618990,127.055221
금성초등학교,37.615343,127.089923
대광초등학교,37.579011,127.023692
동광초등학교,37.452039,126.916643
동북초등학교,37.655057,127.026033
동산초등학교,37.556206,127.016727
리라초등학교,37.557670,126.987917
매원초등학교,37.598094,127.019096
명지초등학교,37.583640,126.928239
산빛초등학교 (2027년 3월 예정),37.483554,127.139364
상명대학교사범대학 부속초등학교,37.600784,126.956411
상명초등학교,37.648709,127.067513
서울가곡초등학교,37.555628,126.835930
서울가동초등학교,37.497412,127.129976
서울가락초등학교,37.500166,127.107630
서울가산초등학교,37.478204,126.896373
서울가양초등학교,37.562016,126.858532
서울가원초등학교,37.489397,127.111287
서울가인초등학교,37.659766,127.043129
서울가재울초등학교,37.573701,126.918518
서울가주초등학교,37.496441,127.129414
서울갈산초등학교,37.511986,126.869768
서울갈현초등학교,37.619374,126.916384
서울강남초등학교,37.506268,126.952738
서울강덕초등학교,37.559272,127.161000
서울강동초등학교,37.546282,127.130016
서울강명초등학교,37.554566,127.173447
서울강빛초등학교,37.574446,127.171297
서울강서초등학교,37.522471,126.840971
서울강솔초등학교,37.562304,127.180379
서울강월초등학교,37.516443,126.834056
서울강일초등학교,37.565369,127.177094
서울개롱초등학교,37.497155,127.139796
서울개명초등학교,37.483012,126.850403
서울개봉초등학교,37.489693,126.858425
서울개운초등학교,37.601971,127.027441
서울개웅초등학교,37.488594,126.850048
서울개원초등학교,37.481597,127.058738
서울개일초등학교,37.486239,127.057774
서울개포초등학교,37.486458,127.070261
서울개현초등학교,37.480989,127.061803
서울개화초등학교,37.573712,126.804570
서울거여초등학교,37.505094,127.140906
서울거원초등학교,37.487624,127.144799
서울경동초등학교,37.543337,127.050327
서울경수초등학교,37.540357,127.058331
서울경인초등학교,37.533072,126.886354
서울경일초등학교,37.540711,127.047261
서울계남초등학교,37.510173,126.860008
서울계상초등학교,37.662893,127.068102
서울고덕초등학교,37.561153,127.166531
서울고명초등학교,37.553038,127.146912
서울고산초등학교,37.498823,126.865335
서울고원초등학교,37.497515,126.865735
서울고은초등학교,37.584896,126.943409
서울고일초등학교,37.552511,127.168872
서울고척초등학교,37.501037,126.856922
서울고현초등학교,37.554123,127.165932
서울공덕초등학교,37.545916,126.953596
서울공릉초등학교,37.619304,127.074215
서울공연초등학교,37.627259,127.074245
서울공진초등학교,37.557966,126.822710
서울공항초등학교,37.563236,126.821564
서울관악초등학교,37.480650,126.943008
서울광남초등학교,37.540959,127.100714
서울광장초등학교,37.548642,127.101041
서울광진초등학교,37.547583,127.091444
서울광희초등학교,37.567587,127.015023
서울교동초등학교,37.575006,126.988151
서울교육대학교 부설초등학교,37.490725,127.015550
서울구남초등학교,37.537189,127.092282
서울구로남초등학교,37.485482,126.890786
서울구로초등학교,37.497270,126.885987
서울구룡초등학교,37.481211,127.051678
서울구산초등학교,37.612434,126.909130
서울구암초등학교,37.489506,126.946837
서울구의초등학교,37.543047,127.080236
서울구일초등학교,37.493072,126.872944
서울구현초등학교,37.609908,126.905681
서울군자초등학교,37.564430,127.061646
서울금나래초등학교,37.458193,126.896300
서울금동초등학교,37.447758,126.916376
서울금북초등학교,37.557340,127.023495
서울금산초등학교,37.441415,126.907881
서울금양초등학교,37.540812,126.961121
서울금옥초등학교,37.546298,127.017485
서울금천초등학교,37.454812,126.912869
서울금호초등학교,37.552446,127.019682
서울금화초등학교,37.568837,126.963054
서울길동초등학교,37.538509,127.144816
서울길원초등학교,37.609065,127.016798
서울길음초등학교,37.613801,127.016908
서울난곡초등학교,37.469285,126.916642
서울난우초등학교,37.477283,126.917705
서울난향초등학교,37.462337,126.917626
서울남명초등학교,37.515420,126.853659
서울남부초등학교,37.485171,126.922092
서울남사초등학교,37.482716,126.978902
서울남산초등학교,37.559796,126.986785
서울남성초등학교,37.484470,126.975813
서울남정초등학교,37.536506,126.965029
서울남천초등학교,37.500901,127.150660
서울내발산초등학교,37.551627,126.837894
서울노량진초등학교,37.511751,126.940809
서울노원초등학교,37.673278,127.058426
서울노일초등학교,37.673586,127.054718
서울녹번초등학교,37.604286,126.926303
서울녹천초등학교,37.628799,127.063380
서울논현초등학교,37.508447,127.026217
서울누원초등학교,37.686840,127.049689
서울답십리초등학교,37.568725,127.055474
서울당곡초등학교,37.490312,126.929685
서울당산초등학교,37.539601,126.896468
서울당서초등학교,37.531866,126.899565
서울당중초등학교,37.526430,126.890233
서울당현초등학교,37.648973,127.058493
서울대곡초등학교,37.494676,127.065026
서울대길초등학교,37.498179,126.913018
서울대도초등학교,37.492923,127.053093
서울대동초등학교,37.493660,126.899778
서울대림초등학교,37.500613,126.925383
서울대명초등학교,37.547210,127.152799
서울대모초등학교,37.481432,127.086221
서울대방초등학교,37.502324,126.919378
서울대신초등학교,37.557965,126.948088
서울대영초등학교,37.502827,126.906304
서울대왕초등학교,37.464609,127.105620
서울대은초등학교,37.612042,126.926006
서울대조초등학교,37.613220,126.919639
서울대진초등학교,37.497176,127.078278
서울대청초등학교,37.493155,127.087808
서울대치초등학교,37.491297,127.062038
서울대학교사범대학 부설초등학교,37.577806,127.002894
서울대현초등학교,37.503939,127.063809
서울덕수초등학교,37.568634,126.974586
서울덕암초등학교,37.666528,127.081311
서울덕의초등학교,37.506334,126.856785
서울도곡초등학교,37.499500,127.054486
서울도림초등학교,37.507942,126.906999
서울도봉초등학교,37.686720,127.042515
서울도봉초등학교 (2028년 1월 이전 예정),37.679589,127.038253
서울도성초등학교,37.501192,127.049055
서울도신초등학교,37.498833,126.901093
서울독립문초등학교,37.574303,126.960280
서울독산초등학교,37.465780,126.900061
서울돈암초등학교,37.593443,127.012809
서울동교초등학교,37.558210,126.902355
서울동구로초등학교,37.495265,126.892472
서울동답초등학교,37.571910,127.064387
서울동명초등학교,37.568873,127.035584
서울동신초등학교,37.582700,127.016733
서울동원초등학교,37.604724,127.105379
서울동의초등학교,37.553412,127.099219
서울동일초등학교,37.665311,127.054639
서울동자초등학교,37.534791,127.072762
서울동작초등학교,37.494202,126.977270
서울동호초등학교,37.546589,127.010173
서울두산초등학교,37.467458,126.890844
서울둔촌초등학교,37.526217,127.137466
서울등마초등학교,37.541973,126.861555
서울등명초등학교,37.560920,126.842361
서울등서초등학교,37.551883,126.855050
서울등양초등학교,37.565036,126.844747
서울등원초등학교,37.560642,126.849981
서울등촌초등학교,37.547634,126.857819
서울등현초등학교,37.561375,126.847657
서울마장초등학교,37.568035,127.042719
서울마천초등학교,37.495580,127.151983
서울마포초등학교,37.538605,126.949794
서울망우초등학교,37.598516,127.103301
서울망원초등학교,37.560845,126.900958
서울매동초등학교,37.577538,126.966844
서울매봉초등학교,37.504560,126.844402
서울매헌초등학교,37.471166,127.041922
서울면남초등학교,37.577028,127.088189
서울면동초등학교,37.585454,127.086726
서울면목초등학교,37.590971,127.088073
서울면북초등학교,37.594577,127.103390
서울면일초등학교,37.592053,127.099779
서울면중초등학교 (휴교),37.582408,127.096617
서울명덕초등학교,37.556787,127.146444
서울명신초등학교,37.581661,127.014259
서울명원초등학교,37.551321,127.150571
서울명일초등학교,37.554467,127.142099
서울목동초등학교,37.522789,126.872096
서울목운초등학교,37.526846,126.873579
서울목원초등학교,37.542943,126.882455
서울묘곡초등학교,37.558555,127.153180
서울무학초등학교,37.563263,127.029645
서울묵동초등학교,37.604299,127.081339
서울묵현초등학교,37.608917,127.073653
서울문교초등학교,37.466767,126.908917
서울문덕초등학교,37.485139,127.127956
서울문래초등학교,37.518216,126.893217
서울문백초등학교,37.446933,126.899458
서울문성초등학교,37.474962,126.899461
서울문정초등학교,37.489217,127.129062
서울문창초등학교,37.488858,126.913714
서울문현초등학교,37.482621,127.130127
서울미동초등학교,37.563421,126.965913
서울미래초등학교,37.505121,126.888169
서울미성초등학교,37.478249,126.912571
